"","logit.glm$coefficients"
"(Intercept)",0.586808221091938
"eco_i",-0.467015114392686
"IRC",-9.55977739414693
"other",-2.44886960397735
"private",3.62539780773961
"urp_i",-7.77807859905944
"icmp",3.87528128272127
"RSTR",4.99548845010645
"S0",1.49584615146051
"S1",-5.16458982765485
"SF",-1.94419629851163
"hot",0.265076545905371
"count",1.32887405883698
"same_srv_rate",-0.999285520300137
"dst_host_srv_count",-1.30772490130095
"dst_host_same_src_port_rate",0.776119152483572
"dst_host_srv_diff_host_rate",0.225487447989451
"dst_host_srv_serror_rate",1.3957421061897
